MAIN_ID,RA,DEC,Distance_distance,FLUX_V
PN M  1-44,18 16 17.3419,-27 04 30.536,10.44,12.5
PN M  2-20,17 54 25.32,-29 36 08.2,9.503,16.1
WRAY 16-134,13 43 58.8254,-55 19 43.277,137.584,14.035
NGC  5307,13 51 03.2580,-51 12 20.835,3.272,10.0
IRAS 18454+0250,18 48 00.6605,+02 54 17.127,1505.117,12.395
V* BI Cru,12 23 25.9932,-62 38 15.988,3152.585,11.0
NGC  1360,03 33 14.6468,-25 52 17.977,0.355,11.16
WRAY 16-290,17 36 06.9416,-49 25 45.242,8.481,14.5
NGC  6337,17 22 15.6721,-38 29 01.735,1.369,12.0
PN M  2-11,17 20 33.27,-29 00 39.1,10.87,14.0
WRAY 16-200,16 00 59.14,-55 05 40.1,5.311,15.8
PN K  3-6,18 33 17.4969,+00 11 46.782,5.879,16.5
PN M  3-29,18 39 25.8182,-30 40 37.222,5.861,14.1
WRAY 16-182,15 25 32.6550,-52 50 37.942,10.33,15.2
NGC  7026,21 06 18.5723,+47 51 06.774,2.086,15.1
PN Vy  1-4,18 54 01.8931,-06 26 20.229,10.22,12.4
WRAY 16-413,18 31 52.8340,-24 46 17.691,15.88,16.3
WRAY 16-217,16 22 14.3332,-53 40 54.122,9.748,15.5
IC 4593,16 11 44.5479,+12 04 17.031,3.232,10.84
PN ARO  121,07 57 51.6169,+53 25 16.950,939.232,17.128
NGC  6818,19 43 58.022,-14 09 13.44,2.079,9.3
PN LoTr    5,12 55 33.7471,+25 53 30.559,454.938,8.88
PN M  2-5,17 02 19.0885,-33 10 04.843,8.229,15.08
PG 0057+155,00 59 56.6673,+15 44 13.740,0.837,12.32
WRAY 16-219,16 24 21.44,-54 36 03.2,4.909,15.0
V* CP Pup,08 11 46.0634,-35 21 04.986,813.14,15.227
WRAY 16-53,09 38 01.2104,-50 09 42.015,125.823,15.65
PN A66   84,23 47 44.0543,+51 23 57.161,1.388,18.584
PN H  1-20,17 30 43.8092,-28 04 06.841,7.601,16.0
M  76,01 42 19.6557,+51 34 31.534,1.436,17.48
PN Cn  2-1,17 54 33.010,-34 22 21.15,8.101,12.7
PN M  4-3,17 10 41.7794,-27 08 44.078,5.487,15.2
[DSH2001] 333-3,17 22 31.1535,-38 08 09.294,1499.7,15.6
PN A66   21,07 29 02.7096,+13 14 48.587,0.248,15.99
PN A66   18,06 56 14.659,-02 53 07.81,1.609,20.9
PN Pe  1-5,16 15 20.127,-49 13 21.59,3.071,13.7
PN M  3-16,17 52 46.0471,-30 49 35.021,6.805,17.007
Hen 2-427,19 11 30.8749,+16 51 38.200,0.696,11.5
PN A66   14,06 11 08.6567,+11 46 43.824,3.38,15.24
WRAY 16-135,13 45 22.3626,-71 28 56.118,7.175,12.8
PG 1520+525,15 21 46.5635,+52 22 03.867,771.962,16.6
IC 2149,05 56 23.9011,+46 06 17.204,3.113,11.35
PN M  1-46,18 27 56.3175,-15 32 54.434,3.621,12.83
Hen 2-446,19 44 05.2594,+23 26 47.957,2287.283,14.82
PN Th  3-26,17 31 09.30,-28 14 50.4,7.566,14.5
NGC  6807,19 34 33.53,+05 41 02.5,12.7,12.0
WRAY 16-147,14 11 52.0604,-51 26 24.187,4.721,14.2
PN M  2-8,17 05 30.70,-32 32 08.1,9.369,14.5
EM* AS  200,08 28 27.9571,-39 23 40.041,4.675,14.0
PN HaTr    7,17 54 09.4487,-60 49 57.659,1703.87,15.111
HD  55439,07 12 34.8109,-09 50 42.102,1237.317,8.59
Hen 2-459,20 13 57.8909,+29 33 55.874,8.252,12.67
WRAY 16-218,16 23 30.6466,-58 19 22.800,20.12,13.9
NGC  6741,19 02 37.10,-00 26 56.7,3.714,9.6
PN K  1-11,07 36 07.9179,+02 42 27.543,1.586,19.59
PN K  2-2,06 52 23.1654,+09 57 55.772,0.451,14.263
PN K  1-3,16 23 19.0090,-31 44 58.628,0.606,20.0
IC 4637,17 05 10.47,-40 53 07.7,2.424,9.2
PN M  3-38,17 21 04.4699,-29 02 59.700,14.22,16.0
PN Hb    4,17 41 52.8002,-24 42 08.330,5.096,17.0
PN K  1-28,10 34 30.6203,-29 11 15.215,2.727,16.0
PN M  1-34,18 01 22.146,-33 17 45.21,5.101,10.5
PN K  1-16,18 21 52.1086,+64 21 53.406,0.913,14.96
RCW  90,15 05 59.2054,-55 59 16.581,3.589,13.5
PN A66   72,20 50 02.0523,+13 33 29.525,1.167,16.07
WRAY 16-139,13 52 30.6807,-66 23 26.577,3.813,13.18
PN H  2-43,18 12 47.9863,-28 19 59.741,5.173,14.2
GSC 02801-02082,00 42 53.3895,+40 52 15.987,680.643,12.38
PN A66   71,20 32 23.216,+47 20 50.41,0.74,19.335
PN Pe  1-20,18 57 17.351,-05 59 51.79,6.212,15.1
V* V1023 Tau,04 18 47.0291,+28 20 07.493,127.393,12.0
Hen 2-325,18 01 06.3006,-26 21 26.097,1602.821,12.91
V* SV Car,09 48 20.6235,-59 32 11.643,1139.991,10.36
NGC  7408,22 55 56.8300,-63 41 40.813,48.65,15.41
IC 4634,17 01 33.5816,-21 49 33.015,3.97,11.3
PN H  2-20,17 45 39.81,-25 40 00.3,9.557,17.0
WRAY 16-205,16 10 41.0035,-54 57 34.657,2.048,12.9
PN V-V  3-5,18 36 32.2456,-19 19 29.071,1490.313,11.72
PN K  3-61,21 30 00.7565,+54 27 27.195,7.416,14.8
PN Lo   16,17 35 41.8805,-40 11 26.481,1820.167,16.14
PN Me  1-1,19 39 09.8202,+15 56 48.274,5.249,11.855
NGC  6803,19 31 16.4826,+10 03 21.620,5.334,11.616
PN M  1-42,18 11 04.99,-28 58 59.1,5.576,14.0
NGC  6565,18 11 52.4858,-28 10 42.421,4.714,12.2
PN H  1-54,18 07 07.2793,-29 13 05.972,12.48,13.9
PN KFL   16,18 16 53.9673,-26 23 24.102,7.151,14.1
WRAY 16-16,08 11 31.800,-48 43 17.70,1.764,12.4
PN M  2-26,18 03 11.92,-26 58 31.2,8.39,16.0
PN H  1-2,16 48 54.1065,-35 47 08.952,5.419,13.6
PN H  1-42,17 57 25.1720,-33 35 43.132,6.197,12.8
PN DdDm    1,16 40 18.1517,+38 42 20.033,26.0,13.9
PN Pe  2-2,09 09 03.6721,-44 17 44.447,2973.536,14.57
PN Mz    3,16 17 13.3915,-51 59 10.711,1.496,14.0
HD 184738,19 34 45.2337,+30 30 58.950,2.956,10.44
NGC  6886,20 12 42.8301,+19 59 22.632,5.159,11.719
NGC  6072,16 12 58.3635,-36 13 47.395,1.241,12.1
PN A66   30,08 46 53.4639,+17 52 46.369,1.722,14.3
PN M  3-20,17 59 19.35,-28 13 48.2,7.744,14.8
NGC  3242,10 24 46.1335,-18 38 32.296,1.107,12.15
EM* AS  201,08 31 42.8828,-27 45 31.543,2406.16,11.8
PN M  1-27,17 46 45.4755,-33 08 35.133,4.665,13.9
PN Pu    1,05 52 48.4555,+28 05 59.155,2.066,18.0
SH  2-167,23 35 30,+64 52.3,6.8,14.5
PN A66   13,06 04 47.896,+03 56 35.76,1.203,19.87
NGC  3699,11 27 57.8398,-59 57 28.454,1.988,13.0
WRAY 16-94,11 31 45.4605,-65 58 14.143,4.617,14.3
PN M  2-7,17 05 13.91,-30 32 19.7,7.24,15.5
PN Ps    1,21 29 59.3972,+12 10 26.275,10.12,14.06
NGC  2371,07 25 34.6883,+29 29 26.430,1.874,13.5
JaSt2  4,17 42 28.0559,-27 13 31.779,1412.03,16.459
NGC   246,00 47 03.3420,-11 52 18.971,0.48,11.76
M  97,11 14 47.7122,+55 01 08.482,0.693,15.777
HD 141969,15 56 01.6950,-66 09 09.231,4.869,10.95
PN M  1-6,06 35 45.1241,-00 05 37.396,5.812,15.84
[RP2006] J053141-711346,05 31 41.9375,-71 13 46.865,266.553,18.541
PN Pe  2-1,09 04 10.8814,-44 32 52.577,2030.457,15.13
PN MaC  1-7,17 51 23.2198,-31 13 46.462,1371.93,12.77
IC 3568,12 33 06.8549,+82 33 50.202,3.941,10.73
PN G197.4-06.4,05 59 24.8669,+10 41 40.411,579.878,17.226
[RP2006] J053544-665122,05 35 44.2344,-66 51 21.892,404.629,20.724
ESO 455-139,17 39 02.9171,-28 56 35.634,3.617,17.2
NGC  5882,15 16 49.9562,-45 38 58.616,2.389,10.9
PN M  1-19,17 03 46.8491,-33 29 44.433,10.93,13.87
[RP2006] J053119-705422,05 31 19.7934,-70 54 22.240,396.087,19.782
PN PC   14,17 06 14.75,-52 30 00.5,6.147,16.5
CD-49 11554,17 35 02.4970,-49 26 26.379,4205.214,10.74
PN M  3-41,17 25 59.82,-29 21 50.4,6.632,15.4
WRAY 15-1341,15 41 58.83,-56 36 25.6,3.866,14.5
THA 17-3,12 53 30.9035,-61 51 32.396,2033.76,11.11
IRAS 18348-0616,18 37 30.420,-06 14 14.49,7.7,16.14
M  27,19 59 36.3631,+22 43 16.312,0.242,14.089
NGC  6629,18 25 42.4541,-23 12 10.551,2.399,9.9
WRAY 16-172,15 18 20.7584,-59 38 17.324,6389.776,13.28
WRAY 16-144,14 05 36.75,-64 41 00.7,3.459,14.0
PN Pe  1-11,18 01 42.8863,-33 15 28.314,6.568,15.0
PN M  4-5,17 34 54.72,-26 35 57.3,8.05,17.5
WRAY 16-92,11 28 47.3900,-60 06 36.668,6.74,14.2
WRAY 16-163,15 06 01.90,-61 21 19.0,2.396,14.0
PN H  1-9,17 21 31.9113,-30 20 48.608,10.05,14.636
PN M  1-41,18 09 30.10,-24 12 26.0,0.858,15.0
PN H  1-50,18 03 53.5082,-32 41 42.015,10.68,12.8
NGC    40,00 13 01.0170,+72 31 19.033,1781.9,11.46
PN Fg    1,11 28 36.2243,-52 56 04.118,3.163,12.2
PN M  3-23,18 07 06.16,-30 34 17.8,4.302,14.5
EGB  4,06 29 33.9600,+71 04 36.394,371.996,13.27
CPD-57  2561,10 02 16.0088,-58 13 50.061,2511.301,11.82
