MAIN_ID,RA,DEC,Distance_distance
PN M  2-18,17 53 37.85,-32 58 47.8,15.92
PN M  2-17,17 52 04.896,-17 36 05.23,6.742
NGC  6439,17 48 19.820,-16 28 44.42,6.403
PN M  2-45,18 39 21.88,-04 19 51.0,4.554
PN Vy  1-1,00 18 42.1732,+53 52 19.778,7.061
PN G129.2-02.0,01 42 38.000,+60 09 44.52,820.0
PN H  1-39,17 53 21.0206,-33 55 58.445,14.72
NAME Camel Galaxy,04 25 16.6,+72 48 24,3.56
PN K  1-21,08 04 14.193,-34 16 07.32,3.576
PN Th  3-25,17 30 46.81,-27 05 58.0,14.67
PN K  4-28,19 30 16.668,+14 47 21.84,10.89
MR  74,17 36 19.8953,-33 26 12.271,2300.966
PN Me  2-1,15 22 19.2811,-23 37 31.412,6.742
PN H  1-66,18 24 57.539,-25 41 55.76,8.38
PN M  3-19,17 58 19.36,-30 00 39.3,7.961
PN H  1-56,18 07 53.8842,-29 44 34.338,12.76
PN K  3-18,19 00 34.8294,-02 11 57.965,9.711
2MASS J00402121+4142130,00 40 21.2104,+41 42 12.987,1126.253
PN M  1-4,03 41 43.4191,+52 17 00.267,6.676
PN A66   40,16 48 34.515,-21 00 50.67,3.904
PN A66   62,19 33 17.693,+10 37 03.51,0.505
PN HDW    4,05 37 56.2344,+55 32 15.751,292.989
PN PB    6,10 13 15.9622,-50 19 59.563,4.471
PN H  1-46,17 59 02.5031,-32 21 43.494,8.127
PN K  2-7,19 40 29.0909,-20 27 05.899,1762.425
EM* AS  204,08 53 30.8813,-40 03 42.779,2.19
PN K  3-38,19 35 18.354,+17 13 00.71,8.494
PN K  3-69,05 41 22.1331,+39 15 07.885,17.77
PN K  1-7,05 31 45.498,+06 56 01.58,3.904
EM* AS  283,18 11 35.1005,-28 22 36.727,4.664
PN K  2-12,06 02 06.8725,-37 25 25.207,1984.127
WRAY 15-1520,16 38 28.6289,-45 23 41.453,4516.712
PN K  3-55,20 06 56.2756,+32 16 37.344,4.28
BD+40   138,00 40 10.7600,+41 37 47.707,426.167
Hen 2-289,17 49 48.2107,-37 01 27.797,5.825
NGC  6572,18 12 06.3181,+06 51 13.027,1.681
NGC  1909,05 02,-07.9,295.0
NGC  6742,18 59 20.030,+48 27 55.24,5.15
PN M  3-21,18 02 32.33,-36 39 11.3,7.175
PN K  4-45,21 35 21.061,+53 47 11.21,4576.0
NGC  2392,07 29 10.7671,+20 54 42.474,2.097
WRAY 16-175,15 22 19.3810,-54 08 12.691,5.48
PN G131.4-05.4,01 53 03.432,+56 24 17.11,7.032
ESO 428-14,07 16 31.2062,-29 19 28.882,23.2
PN KFL    2,18 00 59.9261,-28 16 19.725,12.65
NAME PCG 11,16 33 48.7363,-49 28 44.010,4926.108
HD   1440,00 18 42.7677,+30 49 13.138,340.727
PN PB    2,08 20 40.1874,-46 22 58.508,9.203
NGC  6369,17 29 20.4566,-23 45 34.771,1.102
NGC  5979,15 47 41.1732,-61 13 05.549,4.122
IC 5217,22 23 55.7180,+50 58 00.464,5.431
UCAC4 105-012588,05 29 02.8601,-69 04 29.953,971.44
PN M  2-29,18 06 40.9055,-26 54 56.375,8.731
NGC  1501,04 06 59.3920,+60 55 14.278,1.177
IPHASX J191716.4+033447,19 17 16.3943,+03 34 47.356,4071.66
